pair	err_p0n0	err_p0n1	err_p1n0	err_p1n1
me	0.0018	0.0041	0.0142	0.0093
mf	0.0025	0.0060	0.0203	0.0133
mg	0.0025	0.0060	0.0203	0.0133
mh	0.0064	0.0150	0.0500	0.0331
mi	0.0029	0.0069	0.0234	0.0154
mj	0.0057	0.0135	0.0452	0.0299
mk	0.0042	0.0099	0.0333	0.0219
ml	0.0042	0.0099	0.0333	0.0219
mm	0.0007	0.0016	0.0054	0.0035
mn	0.0099	0.0232	0.0759	0.0508
mo	0.0029	0.0069	0.0234	0.0154
mp	0.0029	0.0069	0.0234	0.0154
mq	0.0022	0.0053	0.0180	0.0118
mr	0.0018	0.0041	0.0142	0.0093
ms	0.0025	0.0060	0.0203	0.0133
mt	0.0018	0.0041	0.0142	0.0093
mu	0.0040	0.0094	0.0319	0.0210
mv	0.0039	0.0093	0.0313	0.0206
mw	0.0018	0.0041	0.0142	0.0093
mx	0.0039	0.0093	0.0313	0.0206
my	0.0045	0.0105	0.0353	0.0233
mz	0.0050	0.0117	0.0394	0.0260
m;	0.0042	0.0099	0.0333	0.0219
m,	0.0065	0.0153	0.0510	0.0338
m.	0.0065	0.0153	0.0510	0.0338
m/	0.0065	0.0153	0.0510	0.0338
na	0.0032	0.0075	0.0256	0.0168
nb	0.0039	0.0093	0.0313	0.0206
nc	0.0039	0.0093	0.0313	0.0206
nd	0.0025	0.0060	0.0203	0.0133
ne	0.0018	0.0041	0.0142	0.0093
nf	0.0025	0.0060	0.0203	0.0133
ng	0.0025	0.0060	0.0203	0.0133
nh	0.0057	0.0135	0.0452	0.0299
ni	0.0029	0.0069	0.0234	0.0154
nj	0.0064	0.0150	0.0500	0.0331
nk	0.0042	0.0099	0.0333	0.0219
nl	0.0042	0.0099	0.0333	0.0219
nm	0.0099	0.0232	0.0759	0.0508
nn	0.0007	0.0016	0.0054	0.0035
no	0.0029	0.0069	0.0234	0.0154
np	0.0029	0.0069	0.0234	0.0154
nq	0.0022	0.0053	0.0180	0.0118
nr	0.0018	0.0041	0.0142	0.0093
ns	0.0025	0.0060	0.0203	0.0133
nt	0.0018	0.0041	0.0142	0.0093
nu	0.0045	0.0105	0.0353	0.0233
nv	0.0039	0.0093	0.0313	0.0206
nw	0.0018	0.0041	0.0142	0.0093
nx	0.0039	0.0093	0.0313	0.0206
ny	0.0040	0.0094	0.0319	0.0210
nz	0.0050	0.0117	0.0394	0.0260
n;	0.0042	0.0099	0.0333	0.0219
n,	0.0065	0.0153	0.0510	0.0338
n.	0.0065	0.0153	0.0510	0.0338
n/	0.0065	0.0153	0.0510	0.0338
oa	0.0032	0.0075	0.0256	0.0168
ob	0.0039	0.0093	0.0313	0.0206
oc	0.0039	0.0093	0.0313	0.0206
od	0.0025	0.0060	0.0203	0.0133
oe	0.0018	0.0041	0.0142	0.0093
of	0.0025	0.0060	0.0203	0.0133
og	0.0025	0.0060	0.0203	0.0133
oh	0.0042	0.0099	0.0333	0.0219
oi	0.0040	0.0094	0.0317	0.0209
oj	0.0042	0.0099	0.0333	0.0219
ok	0.0057	0.0134	0.0450	0.0297
ol	0.0057	0.0135	0.0452	0.0299
om	0.0065	0.0153	0.0510	0.0338
on	0.0065	0.0153	0.0510	0.0338
oo	0.0003	0.0007	0.0024	0.0016
op	0.0049	0.0115	0.0387	0.0255
oq	0.0022	0.0053	0.0180	0.0118
or	0.0018	0.0041	0.0142	0.0093
os	0.0025	0.0060	0.0203	0.0133
ot	0.0018	0.0041	0.0142	0.0093
ou	0.0029	0.0069	0.0234	0.0154
ov	0.0039	0.0093	0.0313	0.0206
ow	0.0018	0.0041	0.0142	0.0093
ox	0.0039	0.0093	0.0313	0.0206
oy	0.0029	0.0069	0.0234	0.0154
oz	0.0050	0.0117	0.0394	0.0260
o;	0.0070	0.0165	0.0547	0.0363
o,	0.0089	0.0208	0.0685	0.0457
o.	0.0089	0.0209	0.0688	0.0459
o/	0.0109	0.0255	0.0828	0.0555
pa	0.0032	0.0075	0.0256	0.0168
pb	0.0039	0.0093	0.0313	0.0206
pc	0.0039	0.0093	0.0313	0.0206
pd	0.0025	0.0060	0.0203	0.0133
